DISTANCE,UNIQUE_CARRIER,REGION,CARRIER,CARRIER_GROUP,CARRIER_GROUP_NEW,ORIGIN,ORIGIN_COUNTRY,ORIGIN_WAC,DEST,DEST_COUNTRY,DEST_WAC,YEAR,QUARTER,MONTH,DISTANCE_GROUP,CLASS
5.062595033026967,9,2,11,1,1,437,0,936,70,1,44,2017,2,5,1,2
6.745236349484363,58,1,62,3,3,470,0,916,269,1,85,2010,3,8,2,0
6.07993319509559,58,1,62,3,3,276,1,41,412,0,936,2014,4,11,1,0
7.368339686311381,66,1,69,2,2,179,1,74,395,0,941,2011,2,6,4,0
7.10085190894405,68,1,71,2,2,288,1,92,398,0,926,2010,3,8,3,2
6.208590026096629,9,2,11,1,1,333,1,52,412,0,936,2017,4,10,1,2
5.8805329864007,53,1,57,3,3,209,1,22,412,0,936,2017,1,3,1,0
6.927557906278317,58,1,62,3,3,338,1,91,407,0,916,2017,3,9,3,0
6.522092798170152,17,1,20,2,2,249,1,63,412,0,936,2010,1,2,2,0
5.8522024797744745,71,1,74,3,3,475,0,936,55,1,35,2014,2,6,1,2
6.99117688712121,29,1,32,2,2,249,1,63,338,0,916,2011,2,4,3,0
6.025865973825314,17,1,20,2,2,475,0,936,83,1,52,2014,4,12,1,0
7.059617628291383,72,1,75,3,3,338,1,91,338,0,916,2014,2,4,3,0
7.115582126184454,28,1,31,3,3,293,1,81,397,0,906,2011,3,7,3,0
2.995732273553991,45,1,49,1,6,461,0,906,117,1,93,2017,3,9,1,2
6.779921907472252,17,1,20,2,2,224,1,41,375,0,941,2010,2,5,2,0
6.902742737158593,17,1,20,2,2,457,0,941,15,1,34,2013,1,2,2,0
5.981414211254481,58,1,62,3,3,249,1,63,398,0,926,2017,1,2,1,0
6.927557906278317,58,1,62,3,3,338,1,91,407,0,916,2016,2,6,3,0
6.8679744089702925,13,1,16,3,3,142,1,67,407,0,916,2011,1,2,2,1
6.682108597449809,58,1,62,3,3,459,0,906,292,1,87,2011,3,9,2,0
7.3453648404168685,71,1,74,3,3,61,1,84,412,0,936,2017,3,8,4,0
6.408528791059498,34,1,37,2,2,126,1,21,380,0,946,2012,1,1,2,0
6.3784261836515865,56,1,61,2,2,74,1,36,412,0,936,2018,3,7,2,0
