Unnamed: 0,DISTANCE,UNIQUE_CARRIER,REGION,CARRIER,CARRIER_GROUP,CARRIER_GROUP_NEW,ORIGIN,ORIGIN_COUNTRY,ORIGIN_WAC,DEST,DEST_COUNTRY,DEST_WAC,YEAR,QUARTER,MONTH,DISTANCE_GROUP,CLASS
52537,1342.0,SY,D,SY,2,2,YWG,CA,926,IFP,US,81,2017,2,4,3,L
20820,796.0,CP (2),D,CP,2,2,MSP,US,63,YXE,CA,921,2012,4,12,2,F
23245,224.0,FX,D,FX,3,3,BUF,US,22,YOW,CA,936,2013,4,11,1,G
485,793.0,U7,I,U7,1,1,YMX,CA,941,SDF,US,52,2010,2,5,2,P
44331,1561.0,U7,I,U7,2,2,MFE,US,74,YHM,CA,936,2016,4,10,4,P
7673,800.0,UA,D,UA,3,3,SFO,US,91,YVR,CA,906,2010,1,3,2,F
17438,1548.0,UA,D,UA,3,3,YYC,CA,916,IND,US,42,2012,1,2,4,F
40271,530.0,G7,D,G7,2,2,YUL,CA,941,DTW,US,43,2015,3,9,2,F
49692,436.0,MQ,D,MQ,3,3,YYZ,CA,936,ORD,US,41,2016,3,9,1,F
12305,880.0,OO,D,OO,3,3,ORD,US,41,YQB,CA,941,2011,1,3,2,F
22313,1081.0,AS,D,AS,3,3,YVR,CA,906,LAX,US,91,2012,1,1,3,F
12110,1086.0,DL,D,DL,3,3,MSP,US,63,YEG,CA,916,2011,4,11,3,F
26065,783.0,OO,D,OO,3,3,YWG,CA,926,DEN,US,82,2013,1,2,2,F
58162,413.0,YV,D,YV,2,2,YYZ,CA,936,CVG,US,52,2018,4,11,1,F
44737,1090.0,FX,D,FX,3,3,YWG,CA,926,MEM,US,54,2016,3,9,3,G
52924,530.0,9E,D,9E,2,2,YUL,CA,941,DTW,US,43,2017,3,8,2,F
46929,708.0,OO,D,OO,3,3,YWG,CA,926,ORD,US,41,2016,3,7,2,F
21691,707.0,EV,D,EV,2,2,YWG,CA,926,ORD,US,41,2012,2,6,2,F
22031,436.0,UA,D,UA,3,3,ORD,US,41,YYZ,CA,936,2012,2,4,1,F
18505,2157.0,UA,D,UA,3,3,SAN,US,91,YYZ,CA,936,2012,1,1,5,F
20716,763.0,OO,L,OO,3,3,SFO,US,91,YYJ,CA,906,2012,2,5,2,F
27843,377.0,ZW,D,ZW,2,2,YOW,CA,936,PHL,US,23,2013,3,8,1,F
30043,224.0,FX,D,FX,3,3,YOW,CA,936,BUF,US,22,2014,4,12,1,G
18074,1973.0,UA,D,UA,3,3,DCA,US,38,YYC,CA,916,2012,1,3,4,F
4107,994.0,9E,D,9E,2,2,YUL,CA,941,ATL,US,34,2010,4,10,2,F
1854,1747.0,OO,D,OO,3,3,YYC,CA,916,IAH,US,74,2010,3,8,4,F
34544,1385.0,UA,D,UA,3,3,YYC,CA,916,ORD,US,41,2014,1,1,3,F
5368,1420.0,S5,D,S5,2,2,YEG,CA,916,ORD,US,41,2010,3,9,3,F
38475,1681.0,US,D,US,3,3,CLE,US,44,YEG,CA,916,2015,2,6,4,F
14666,1523.0,AA,D,AA,3,3,DFW,US,74,YYC,CA,916,2011,1,2,4,F
44296,226.0,U7,I,U7,2,2,TOL,US,44,YHM,CA,936,2016,4,12,1,P
2228,216.0,KAH,D,KAH,1,6,YBL,CA,906,BFI,US,93,2010,3,7,1,L
52212,348.0,GL,I,GL,2,2,EWR,US,21,YYZ,CA,936,2017,2,4,1,L
48983,1854.0,UA,D,UA,3,3,YEG,CA,916,IAH,US,74,2016,2,5,4,F
